Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Physician_Profile_ID,Category,Total_Amount_of_Payment_USDollars,General,Research
MICHAEL,J,REED,"2615 NORTHGATE DR","","IOWA CITY",52245-9565,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology",973146,GNRL,776.85,22,0
DAVID,K,HEMMES,"1215 BLAIRS FERRY RD","",MARION,52302-3016,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist",184471,GNRL,776.51,37,0
ENRIQUE,E,COHEN,"707 IOWA AVE","",DUNLAP,51529-1335,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",110343,GNRL,776.21,43,0
Peter,Nealey,Nau,"200 Hawkins Dr","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",140045,GNRL,775.97,5,0
DANIEL,W,GILLETTE,"600 4TH ST","","SIOUX CITY",51101-1750,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",229368,GNRL,773.52,42,0
SUNITA,K,PENMATCHA,"3740 UTICA RIDGE RD","",BETTENDORF,52722,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology",244639,GNRL,771.23,53,0
JOHN,A,BERNAT,"200 HAWKINS DR","DEPT OF PEDIATRICS","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Medical Genetics|Clinical Genetics (M.D.)",1324412,GNRL,770.2,8,0
JAMES,"",LYLES,"2300 53RD AVE","SUITE 100",BETTENDORF,52722-7564,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Surgery of the Hand",895892,GNRL,768.07,2,0
GREGORY,"",DUNCAN,"3526 JERSEY RIDGE RD","",DAVENPORT,52807,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot Surgery",312853,GNRL,766.72,10,0
ROBERT,PAUL,PENNINGROTH,"1730 1ST AVE NE","","CEDAR RAPIDS",52402-5433,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",56610,GNRL,766.32,16,0
TIMOTHY,"",RICE,"604 E Fenton St","",Marcus,51035,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",83980,GNRL,765.62,62,0
FRED,"",DERY,"2751 Northgate Dr","","Iowa City",52245,"Medical Doctor","Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine",111062,GNRL,761.4,12,0
ANDREW,J,GEHA,"194 6TH AVE NE","","LE MARS",51031-3716,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",245958,GNRL,759.95,52,0
SOAN,G,CRUZ-ORTIZ,"201 RIDGE ST STE 307","","COUNCIL BLUFFS",51503-4643,"Medical Doctor","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",678452,GNRL,759.18,4,0
ABBY,MH,WILLIAMS,"1214 S GRANT RD","",CARROLL,51401,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery",20089,GNRL,759.16,6,0
ANAND,"",KOMMURI,"1801 East 54th Street","",Davenport,52807,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease",926364,GNRL,758.42,36,0
EUGENE,L,NASSIF,"1215 BLAIRS FERRY RD","",MARION,52302-3016,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist",337074,GNRL,757.27,38,0
DAVID,JOHN,CLARK,"211 WEST MAIN STREET","",MARSHALLTOWN,50158,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",128745,GNRL,755.97,10,0
DEAN,A,TEETER,"2901 86TH ST","",URBANDALE,50322-4201,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",30493,GNRL,755.25,73,0
KRISTIN,L,ORR,"788 8TH AVE SE STE 100","","CEDAR RAPIDS",52401-2106,"Medical Doctor","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",1132437,GNRL,755.15,44,0
DONALD,"",KLITGAARD,"1220 CHATBURN AVE","",HARLAN,51537,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",237990,GNRL,754.88,57,0
RONALD,S,SIMS,"2140 JOHN F KENNEDY RD","SUITE C",DUBUQUE,52002-3883,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",1007714,GNRL,749.9,13,0
MARK,W,PLATT,"PO BOX M","",OGDEN,50212-0813,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",296152,GNRL,747.59,7,0
DANIEL,"",WILDES,"802 Kenyon Rd","","Fort Dodge",50501,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",132535,GNRL,747.45,42,0
PAUL,"",MARTIS,"250 LAUREL ST","","DES MOINES",50314-3024,"Medical Doctor","Student, Health Care/ Student in an Organized Health Care Education/Training Program",1289054,GNRL,746.03,54,0
NICOLE,"",WILSON,"250 Laurel St","","Des Moines",50314,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",1311816,GNRL,744.66,51,0
GEORGE,S,SEHL,"805 S GILBERT ST","","IOWA CITY",52240-1742,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery",53697,GNRL,743.45,26,0
GURMEET,"",SINGH,"1111 6th Ave","","Des Moines",50314,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine",1312329,GNRL,742.38,12,0
SCOTT,D,GEISLER,"202 10TH STREE SE","","CEDAR RAPIDS",52403-2404,"Medical Doctor","Physician Assistants & Advanced Practice Nursing Providers/ Nurse Practitioner/ Adult Health",60507,GNRL,740.68,43,0
MALHAR,S,GORE,"510 W MAIN ST","",SOLON,52333-9764,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",704870,GNRL,739.46,21,0
SANG,OUG,LEE,"804 KENYON ROAD","SUITE A","FORT DODGE",50501-5742,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",244941,GNRL,738.42,44,0
Kellyann,"",Light-Mcgroary,"200 HAWKEYE CT","","IOWA CITY",52246,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",1012018,GNRL,737.99,5,0
JAMES,A,SCHRODER,"111 NW 9TH ST","",ANKENY,50023,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",171234,GNRL,736.99,16,0
CHRISTOPHER,A,WHITE,"250 LAUREL ST","","DES MOINES",50314-3024,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",316602,GNRL,736.98,57,0
ROBERT,AUSTIN,COLMAN,"1212 Pleasant St","Ste 110","Des Moines",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Allergy & Immunology|Allergy",147683,GNRL,735.93,45,0
PETER,CHRISTOPHER,RINK,"2300 53RD AVE","SUITE 100",BETTENDORF,52722-7564,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",223094,GNRL,734.24,10,0
MICHAEL,"",NOONAN,"315 1ST AVE E","",CASCADE,52033-9478,"Medical Doctor","Allopathic & Osteopathic Physicians|Allergy & Immunology",96680,GNRL,733.0,2,0
GERALD,H,CLAMON,"General Hospital","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology",765266,RSRCH,732.58,0,8
DALE,LEE,LENSING,"405 MONROE ST","",PELLA,50219-1189,"Medical Doctor","Other Service Providers/ Midwife",339440,GNRL,732.04,16,0
JASON,MARK,THOMPSON,"200 HAWKINS DR.","UIHC, HOSPITAL DENTISTRY,","IOWA CITY",52242-1009,"Doctor of Dentistry","Dental Providers|Dentist",99783,GNRL,731.62,4,0
MAGDALENA,S,"DE LA CRUZ","2320 CARPENTER APT 64","","DES MOINES",50311,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist",97837,GNRL,730.96,12,0
CHERYL,A,VERNON,"1130 S SCOTT BLVD","","IOWA CITY",52240-2907,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",179547,GNRL,730.95,27,0
MARK,A,PRESTON,"6600 WESTOWN PKWY","STE 200","WEST DES MOINES",50266-7707,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",956004,GNRL,730.2,69,0
ROYCE,"",WOODROFFE,"200 HAWKINS DR","DEPARTMENT OF NEUROSURGERY","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Neurological Surgery",1055221,GNRL,729.58,8,0
MARC,L,MILLER,"311 S CLARK ST STE 280","",CARROLL,51401,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Surgery",990579,GNRL,729.56,11,0
BERNARD,E,LEE,"200 ARMY POST RD","","DES MOINES",50315,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",82247,GNRL,726.31,21,0
COLIN,J,HOWE,"310 W LOCUST ST","",DAVENPORT,52803,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",351918,GNRL,722.61,24,0
MELISSA,A,"EHM POTE","1410 SW TRADITION DR","STE 120",ANKENY,50023-9188,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",32619,GNRL,722.43,30,0
DAVID,M,WEBB,"200 HAWKINS DR","","IOWA CITY",07730,"Medical Doctor","Allopathic & Osteopathic Physicians|Anesthesiology",979632,GNRL,722.26,23,0
LYELL,R,HOGG,"1530 S MONROE AVE","","MASON CITY",50401,"Doctor of Dentistry","Dental Providers|Dentist|Oral and Maxillofacial Surgery",689305,GNRL,721.79,8,0
LUIGI,"",PASCARELLA,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery",403903,GNRL,721.37,10,0
NICHOLAS,"",HODGMAN,"788 8th Ave SE","Suite 400","Cedar Rapids",52401,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",98163,GNRL,721.29,52,0
CURTIS,R,HESSE,"700 E 2ND ST","SUITE 2","IDA GROVE",51445-1601,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine",412499,GNRL,719.71,17,0
MEGAN,M,PETERSEN,"2628 BEAVER AVE","","DES MOINES",50310-3908,"Medical Doctor","Eye and Vision Services Providers|Optometrist",728898,GNRL,717.56,41,0
CRAIG,"",SWEENEY,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine",656595,GNRL,717.01,11,0
STEPHEN,"",HARRISON,"915 13th Ave","",Clinton,52732,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",165530,GNRL,717.01,68,0
DOUGLAS,W,PETERS,PRACTICE,"1201 WEST AGENCY","WEST BURLINGTON",52655,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",204690,GNRL,716.81,89,0
MARK,M,LEDUC,"1010 4TH ST SW","SUITE 32","MASON CITY",50401-2857,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",266407,GNRL,714.91,29,0
MICHAEL,D,JACKSON,"6151 THORNTON AVE","SUITE 200","DES MOINES",50321-2413,"Medical Doctor","Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation",120903,GNRL,714.18,10,0
MICHAEL,V,THOMPSON,"405 MONROE ST","",PELLA,50219,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Surgery",345420,GNRL,714.01,11,0
MARK,"",LLOYD,"730 W 3RD ST","",GARNER,50438-1242,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",108473,GNRL,713.01,53,0
JAMES,L,GALLAGHER,"1000 73RD ST","SUITE 5","WINDSOR HEIGHTS",50311-1321,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Forensic Psychiatry",203652,GNRL,712.95,29,0
RAMON,"",PLA,"915 13TH AVE N","",CLINTON,52732-5067,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",190533,GNRL,712.54,35,0
GRACE,N,AYAFOR,"312 E MAIN ST","",MARSHALLTOWN,50158-1888,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",25375,GNRL,712.24,34,0
JEAN-MARIE,"",STEPHAN,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Student, Health Care/ Student in an Organized Health Care Education/Training Program",371722,GNRL,711.09,6,0
SHENGFU,"",WANG,"200 Hawkins Dr","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology",776728,GNRL,710.86,6,0
TYLER,L,CARLLEE,"200 HAWKINS DR","DEPARTMENT OF ORTHOPAEDIC SURGERY AND REHABILITATION","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",932753,GNRL,709.91,4,0
ADAM,D,KRUSE,"25 W HICKMAN RD","",WAUKEE,50263-5020,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",111316,GNRL,709.42,53,0
DANIEL,RYAN,GARMAN,"1709 MCNAUGHTON WAY","",SPENCER,51301-2835,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",960417,GNRL,709.16,6,0
STEPHEN,M,FELTZ,"330 LAUREL ST STE 1100","","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Female Pelvic Medicine and Reconstructive Surgery",245760,GNRL,709.04,20,0
CHRISTOPHER,JOHN,CASTER,"2 HAWKEYE DR","SUITE 104","NORTH LIBERTY",52317,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",447987,GNRL,708.99,10,0
SHAAD,"",SWIM,"1750 48TH ST","SUITE 2","DES MOINES",50310-1988,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",199209,GNRL,707.69,54,0
CARRIE,L,FITZGERALD,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",139539,GNRL,706.68,10,0
ROBERT,S,ROSSI,"1300 37TH ST","","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine",23825,GNRL,705.65,38,0
RONALD,C,TERRILL,"405 E MAIN ST","",MARSHALLTOWN,50158,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Adolescent Medicine",359346,GNRL,705.45,40,0
JOSHUA,M,TOKITA,"200 HAWKINS DR","","IOWA CITY",52242-1007,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology",1033878,GNRL,705.04,3,0
DEREK,S,BORGWARDT,"801 NEWTON ROAD","UNIVERSITY OF IOWA","IOWA CITY",52242-1001,"Doctor of Dentistry","Dental Providers|Dentist",182118,GNRL,705.04,6,0
ROGER,J,EWING,"540 E JEFFERSON ST","SUITE 102","IOWA CITY",52245-2477,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology",308344,GNRL,703.91,55,0
CHRISTOPHER,TATE,MILLER,"1212 PLEASANT ST","","DES MOINES",50309,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",789,GNRL,703.38,41,0
SUKANYA,RANI,MAKKAPATI,"4949 WESTOWN PKWY","SUITE 140","WEST DES MOINES",50266-6702,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",87597,GNRL,703.16,41,0
Richard,"",Downs,"3430 Dodge Street","",Dubuque,52003,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",1169429,GNRL,702.29,2,0
ANITA,LOUISE,PINC,"5350 EASTERN AVE","",DAVENPORT,52807-2709,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",41658,GNRL,702.04,45,0
DAVID,"",CRIPPIN,"620 Northwestern Dr","","Storm Lake",50588,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",281903,GNRL,700.51,20,0
RONALD,F,KLOC,"250 S CRESCENT DR","","MASON CITY",50401-2926,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine",532529,GNRL,700.5,26,0
DANIEL,K,LEE,"1223 S GEAR AVE","","WEST BURLINGTON",52655,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",543393,GNRL,699.44,66,0
JOHN,CARL,VANDERZEE,"212 1ST AVE","","ROCK RAPIDS",51246,"Doctor of Dentistry","Dental Providers|Dentist",1159847,GNRL,698.65,3,0
MATTHEW,JOHN,MAGGIO,"1099 KENYON RD","","FORT DODGE",50501-4707,"Doctor of Dentistry","Dental Providers|Dentist",616901,GNRL,697.72,5,0
KATHLEEN,M,MASSOP,"1221 PLEASANT ST","STE 400","DES MOINES",50309-1423,"Medical Doctor","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",241198,GNRL,696.58,42,0
YOUSEF,"",ZAKHARIA,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Hematology",1014744,GNRL,696.25,6,0
NEHA,"",VOHRA,"1111 6TH AVE","","DES MOINES",50314,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine",1312783,GNRL,694.82,8,0
ANIL,Kumar,DHUNA,"1225 S GEAR AVE STE 153","","West Burlington",52655,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",359238,GNRL,694.7,38,0
Jason,"",Keppler,"1500 Associates Dr","",Dubuque,52002,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery",954853,GNRL,693.69,4,0
CALVIN,"",HANSEN,"1221 PLEASANT ST","","DES MOINES",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Neurological Surgery",164361,GNRL,693.19,13,0
JEFFREY,LYNN,KOENEN,"801 GRAND AVE STE 350","","DES MOINES",50309-8010,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",103538,GNRL,692.24,11,0
LAWRENCE,THOMAS,VOLZ,"801 5TH ST","","SIOUX CITY",51101,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",210685,GNRL,691.7,4,0
KARL,"",HASIK,"100 MEDICAL PARKWAY","SUITE A",DENISON,51442,"Medical Doctor","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",882211,GNRL,690.9,6,0
JULIE,A,SADDLER,"1550 Boyson Rd","",Hiawatha,52233,"Medical Doctor","Other Service Providers/ Specialist",1310745,GNRL,690.3,6,0
SONIA,"",SANDHU,"200 HAWKINS DR","C32 GH","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology",1147421,GNRL,689.26,23,0
DANIEL,E.,DOUGLAS,"415 W 5TH ST","","STORM LAKE",50588,"Doctor of Dentistry","Dental Providers|Dentist",516850,GNRL,686.26,4,0
SCOTT,H,GOODMAN,"300 PERSHING AVE","",SHENANDOAH,51601,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",283517,GNRL,686.2,18,0
CAROLYN,"",SEIFERT,"1441 W CENTRAL PARK AVE","",DAVENPORT,52804-1707,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",168949,GNRL,684.36,46,0
Natisha,Nicole,Phillips,"1111 6th Ave","","Des Moines",50314,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",1041653,GNRL,682.94,7,0
HOWARD,W,FELLOWS,"1225 S GEAR AVE","SUITE 152","WEST BURLINGTON",52655-1691,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology",301491,GNRL,682.41,48,0
RONALD,"",SCHLOTFELDT,"4480 UTICA RIDGE ROAD","",BETTENDORF,52722,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",876582,GNRL,682.4,8,0
WHITNEY,E,MOLIS,"1212 PLEASANT ST","","DES MOINES",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Allergy & Immunology",199622,GNRL,681.77,50,0
RITA,KAYE,ARONSON,"5350 EASTERN AVE","",DAVENPORT,52807-2709,"Medical Doctor","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",495975,GNRL,680.83,47,0
DONALD,W,FURMAN,"45 STATE ST","",GARNER,50438-1108,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",726618,GNRL,680.79,3,0
THEOPHILE,B,BARLEY,"220 ESSIE DAVISON DR","",CLARINDA,51632-2915,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",44383,GNRL,680.52,53,0
THOMAS,S,HOPKINS,"939 OFFICE PARK RD","STE 200","WEST DES MOINES",50265-2505,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry",1243525,GNRL,679.16,46,0
MICHAEL,"",WADZINSKI,"2800 PIERCE ST","","SIOUX CITY",51104,"Medical Doctor","Allopathic & Osteopathic Physicians|Ophthalmology",180882,GNRL,678.35,23,0
CHARLES,L,PIGNERI,"110 N MAIN ST.","",OAKLAND,51560,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",522206,GNRL,677.28,40,0
MARIA,"","LOZANO CELIS","720 KENYON RD","","FORT DODGE",50501-5759,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",263570,GNRL,677.27,37,0
LISA,M,HAZELTON,"115 8TH ST NE","","CEDAR RAPIDS",52401-1013,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",842217,GNRL,677.12,24,0
TERRY,H,MITCHELL,"4230 HAMILTON BLVD","","SIOUX CITY",51104-1137,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",214099,GNRL,676.93,86,0
JORGE,"","GARCIA PADIAL","724 FOREST DR","","COUNCIL BLUFFS",51503,"Medical Doctor","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",242209,GNRL,676.02,21,0
TIMOTHY,J,QUAGLIANO,"1500 DELHI ST","STE 2200",DUBUQUE,52001-6359,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery",160419,GNRL,673.99,11,0
DONNA,J,BAHLS,"12499 UNIVERSITY AVE","SUITE 210",CLIVE,50325-8281,"Medical Doctor","Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation",189725,GNRL,672.93,53,0
FRANCISCO,DEJESUS,"DE JESUS PAULINO","1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",756668,GNRL,672.18,18,0
TARIQ,"BIN MASUD",NIAZI,"1518 MULBERRY AVE","",MUSCATINE,52761-3433,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Trauma",253955,GNRL,669.64,3,0
NAGARATHNAMMA,"",NADIPURAM,"2710 ST. FRANCIS DR.",302,WATERLOO,50702-1951,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",84166,GNRL,669.32,33,0
ROBERT,F,KEATING,"202 10TH STREET SE","","CEDAR RAPIDS",52403-2404,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",509142,GNRL,666.49,10,0
Nicholas,H,Vonbergen,"200 HAWKINS DR STE 2801","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Cardiology",680345,GNRL,666.48,8,0
NITESH,"",UPADHYAY,"4425 WELCOME WAY","STE 1",DAVENPORT,52806-4060,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease",956797,GNRL,665.6,13,0
RONALD,E,ALLEY,"3300 SW 9TH STREET","STE 6A","DES MOINES",50315-7666,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|General Practice",1172342,GNRL,665.19,22,0
BLAKE,B,FRANZEEN,"2150 E 1ST ST","",GRIMES,50111-7606,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",1641,GNRL,664.36,20,0
TRACEY,G,WELLENDORF,"405 S CLARK ST STE 215","",CARROLL,51401,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology",250381,GNRL,663.51,18,0
BRIAN,E,SIMS,"3421 W 9th St","",Waterloo,50702,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Pediatrics",679,GNRL,663.19,50,0
JEFFREY,R,GRAGG,"237 W MULBERRY","",OGDEN,50212,"Doctor of Dentistry","Dental Providers|Dentist",1089506,GNRL,663.1,6,0
TODD,R,PIETIG,"12871 UNIVERSITY AVE","SUITE 140",CLIVE,50325-8255,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",180358,GNRL,661.84,41,0
CHRISTOPHER,"",EAGAN,"2750 SAINT FRANCIS DR","STE 319",WATERLOO,50702,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",357178,GNRL,659.76,20,0
JAN,"",ANDRESEN,"1111 6th Ave","","Des Moines",50314,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine",1284398,GNRL,658.07,7,0
AMIT,"",SINGLA,"2710 Saint Francis Dr","Suite 110",Waterloo,50702,"Medical Doctor","Allopathic & Osteopathic Physicians|Neurological Surgery",1391408,GNRL,657.36,6,0
JOHN,"",PIPER,"6800 LAKE DRIVE","STE 250","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Neurological Surgery",260064,GNRL,657.28,17,0
WARREN,N,SCHMIDT,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology",698436,GNRL,656.01,9,0
KENT,E,KUNZE,"939 OFFICE PARK RD","STE 200","WEST DES MOINES",50265-2538,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry",672245,GNRL,655.57,47,0
PRASUNA,"",MADHAVARAM,"621 HUNTINGTON RIDGE RD NE","","CEDAR RAPIDS",52402,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",179807,GNRL,655.48,53,0
BRIAN,P,LAHEY,"302 NE 14TH ST","",LEON,50144-1206,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",129562,GNRL,654.92,36,0
MELISSA,HOUSS,MARKS,"1111 6TH AVE","","DES MOINES",50314-2613,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery",295931,GNRL,654.18,19,0
MITCHELL,L,BERNSTROM,"239 NATIONAL DR","",WATERLOO,50701-4232,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",193881,GNRL,653.55,51,0
Susan,Jeanne,Dirks,"4189 WESTLAWN S","STUDENT HEALTH AND WELLNESS CENTER","IOWA CITY",52242-1100,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",231609,GNRL,653.46,9,0
KIMBERLY,VICTORIA,PINGEL,"100 BRYANT ST","",DUBUQUE,52003,"Doctor of Dentistry","Dental Providers|Dentist|Oral and Maxillofacial Surgery",151268,GNRL,653.14,20,0
BRIANA,R,BARCLAY,"5350 EASTERN AVE","",DAVENPORT,52807-2709,"Medical Doctor","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",24434,GNRL,653.11,27,0
