Board/Commission,Member Name,City,County,Position,Term Begin,Term End↓,Gender,Party,Status
"Homelessness, Iowa Council on",Christina Canganelli,IOWA CITY,JOHNSON,Member,2015-07-01,2017-06-30,Female,Dem,A
"Homelessness, Iowa Council on",Diogenes Ayala,Winterset,MADISON,Member,2016-07-01,2017-06-30,Male,Dem,A
"Homelessness, Iowa Council on",Jess Bleile,Dubuque,IOWA,Member,2016-07-01,2017-06-30,Female,None,A
"Homelessness, Iowa Council on",Timothy Wilson,Indianola,WARREN,Member,2015-07-01,2017-06-30,Male,None,A
"Homelessness, Iowa Council on",Benjamin Brustkern,WATERLOO,BLACK HAWK,Member,2015-07-01,2017-06-30,Male,Dem,A
"Homelessness, Iowa Council on",David Hagen,CEDAR RAPIDS,LINN,Member,2015-07-01,2017-06-30,Male,Rep,A
"Homelessness, Iowa Council on",Anthony Timm,WINDSOR HEIGHTS,POLK,Member,2015-07-01,2017-06-30,Male,Rep,A
"Homelessness, Iowa Council on",Zebulon Beilke-McCallum,Urbandale,POLK,Member,2016-07-01,2018-06-30,Male,None,A
"Homelessness, Iowa Council on",Dennis Lauterbach,West Des Moines,DALLAS,Member,2016-07-01,2018-06-30,Male,Rep,A
"Homelessness, Iowa Council on",David Binner,JOHNSTON,POLK,Member,2016-07-01,2018-06-30,Male,Rep,A
"Homelessness, Iowa Council on",Allan Axeen,Coralville,JOHNSON,Member,2016-07-01,2018-06-30,Male,Dem,A
"Homelessness, Iowa Council on",Carrie Dunnwald,Hampton,FRANKLIN,Member,2016-07-01,2018-06-30,Female,None,A
"Homelessness, Iowa Council on",MICHAEL WOOD,Sioux City,WOODBURY,Formerly Homeless,2016-07-01,2018-06-30,Male,Dem,A
"Homelessness, Iowa Council on",Paige Boyer,Iowa City,JOHNSON,Member,2016-07-01,2018-06-30,Female,Rep,A
"Homelessness, Iowa Council on",Roberta Wahl,Des Moines,POLK,Member,2016-07-01,2018-06-30,Female,Rep,A
"Homelessness, Iowa Council on",Kristine Harris,CEDAR RAPIDS,LINN,Formerly Homeless,2016-07-01,2018-06-30,Female,Dem,A
"Homelessness, Iowa Council on",Joanie Poore,Underwood,POTTAWATTAMIE,Member,2016-07-01,2018-06-30,Female,Dem,A
"Homelessness, Iowa Council on",Rhonda Jordal,Forest City,WINNEBAGO,Member,2016-07-01,2018-06-30,Female,Rep,A
"Homelessness, Iowa Council on",Robert Brownell,CLIVE,POLK,Iowa Association of Counties,2008-10-24,,Male,None,A
Hospital Licensing Board,Kay Runge,Davenport,SCOTT,Member,2013-07-01,2017-06-30,Female,Rep,A
Hospital Licensing Board,JoAn Headington,Waverly,BREMER,Member,2013-07-01,2017-06-30,Female,None,A
Hospital Licensing Board,Pat McDermott,West Des Moines,POLK,Member,2013-07-01,2017-06-30,Female,Dem,A
Hospital Licensing Board,Arthur Tinker,Cedar Rapids,LINN,Member,2015-07-01,2019-06-30,Male,Rep,A
Hospital Licensing Board,Monte Neitzel,Creston,UNION,Member,2015-07-01,2019-06-30,Male,Rep,A
Hospital Licensing Board,Frank Hermsen,CARROLL,CARROLL,Member,2015-07-01,2019-06-30,Male,Dem,A
Human Rights Board,Vacant,,,Office of Deaf Services Rep.,2010-09-21,2012-04-30,,,V
Human Rights Board,Vacant,,,Division of Criminal and Juvenile Justice Planning Rep.,2010-09-21,2012-04-30,,,V
Human Rights Board,Vacant,,,Division of Community Action Agencies Rep.,2012-05-01,2016-04-30,,,V
Human Rights Board,"Clair Rudison, Jr.",DES MOINES,POLK,Commission on the Status of African-Americans Rep.,2014-05-01,2018-04-30,Male,Rep,A
Human Rights Board,Benjamin Jung,WEST DES MOINES,POLK,Office of Asian and Pacific Islander Affairs Rep.,2014-05-01,2018-04-30,Male,Rep,A
Human Rights Board,Elizabeth Coonan,DES MOINES,POLK,Commission on the Status of Women Rep.,2014-05-01,2018-04-30,Female,Rep,A
Human Rights Board,Michelle Ray-Michalec,Cedar Rapids,LINN,Person with Disability,2014-05-01,2018-04-30,Female,Dem,A
Human Rights Board,Sal Alaniz,Mount Pleasant,HENRY,Division of Latino Affairs Rep.,2014-05-01,2018-04-30,Male,None,A
Human Rights Board,Floyd Winter,Cedar Falls,BLACK HAWK,Public Member,2014-05-01,2018-04-30,Male,Rep,A
Human Rights Board,LaSheila Yates,Cedar Rapids,IOWA,Public Member,2016-08-25,2020-04-30,Female,Dem,A
Human Rights Board,Karen Mackey,Sioux City,WOODBURY,Division of Native American Affairs Rep.,2016-09-22,2020-04-30,Female,Dem,A
"Human Services, Council on",Guy Richardson,Jefferson,GREENE,Elector of State- County Supervisor,2013-03-01,2017-04-30,Male,Rep,A
"Human Services, Council on",Kimberly Kudej,Swisher,JOHNSON,Elector of State of Iowa,2016-05-01,2017-04-30,Female,Dem,A
"Human Services, Council on",Mark Anderson,WAVERLY,BREMER,Elector of State of Iowa,2011-05-01,2017-04-30,Male,None,A
"Human Services, Council on",Kim Spading,North Liberty,JOHNSON,Elector of State of Iowa,2013-05-01,2019-04-30,Female,Dem,A
"Human Services, Council on",Alexa Heffernan,Cedar Falls,BLACK HAWK,Elector of State of Iowa,2014-05-01,2019-04-30,Female,Rep,A
"Human Services, Council on",Phyllis Hansell,Des Moines,POLK,Elector of State of Iowa,2015-05-01,2021-04-30,Female,Rep,A
"Human Services, Council on",Samuel Wallace,Des Moines,POLK,Elector of State of Iowa,2015-05-01,2021-04-30,Male,Rep,A
"Humanities Board, Iowa",Mark Felderman,Ankeny,POLK,Member,2014-07-01,2017-06-30,Male,Rep,A
"Humanities Board, Iowa",Jack Wertzberger,Dubuque,DUBUQUE,Member,2014-07-01,2017-06-30,Male,Dem,A
"Humanities Board, Iowa",Marina Sandquist,Des Moines,POLK,Member,2014-07-01,2017-06-30,Female,Rep,A
"Humanities Board, Iowa",Larry Simons,Mount Vernon,LINN,Member,2016-07-01,2019-06-30,Male,None,A
"Humanities Board, Iowa",Ellen Hay,Davenport,SCOTT,Member,2016-07-01,2019-06-30,Female,Dem,A
iJag,Vacant,,,Governor's Designee/Board Chair,2013-09-01,2015-08-31,,,V
"Independent Living Council, Statewide",Deb Philpot,OSKALOOSA,MAHASKA,Person W Disability,2014-07-01,2017-06-30,Female,None,A
"Independent Living Council, Statewide",Lee Russo,Urbandale,POLK,Dept - Non Voting PWD,2015-05-01,2017-06-30,Female,Dem,A
"Independent Living Council, Statewide",Liz Sherwin,Rock Island,SCOTT,Center Representative,2015-04-24,2017-06-30,Female,None,A
"Independent Living Council, Statewide",Adam Morgan,Dubuque,DUBUQUE,Pwd-family,2016-07-01,2017-06-30,Male,None,A
"Independent Living Council, Statewide",Monalisa McGee,council bluffs,POTTAWATTAMIE,Non-profit,2016-07-01,2017-06-30,Female,Rep,A
"Independent Living Council, Statewide",Paul Krupko,Urbandale,POLK,PWD / Family Member,2014-07-01,2017-06-30,Male,Dem,A
"Independent Living Council, Statewide",Kristen Aller,CEDAR RAPIDS,LINN,Person W Disability,2015-07-01,2018-06-30,Female,Rep,A
"Independent Living Council, Statewide",Michael Cook,DES MOINES,POLK,Business / Person with Disability,2015-07-01,2018-06-30,Male,Rep,A
"Independent Living Council, Statewide",Joel Wulf,Des Moines,POLK,Dept - Non-voting,2015-07-01,2018-06-30,Male,Dem,A
"Independent Living Council, Statewide",Joel Lightcap,DUBUQUE,DUBUQUE,PWD,2015-07-01,2018-06-30,Male,None,A
"Independent Living Council, Statewide",Kimberley Barber,Des Moines,POLK,Dept-non-voting-family,2016-07-01,2019-06-30,Female,Rep,A
"Independent Living Council, Statewide",Kevin Dalin,Des Moines,POLK,PWD,2016-07-01,2019-06-30,Male,None,A
"Independent Living Council, Statewide",Gary McDermott,CLINTON,CLINTON,PWD,2016-07-01,2019-06-30,Male,Dem,A
"Innovation Council, Iowa",Vacant,,,Capital Investment Board Represenative,2010-07-08,2012-04-30,,,V
Interior Design Examining Board,Vacant,,,Interior Designer,2010-05-01,2013-04-30,Female,Rep,V
Interior Design Examining Board,Scott Hatfield,West Des Moines,POLK,Interior Designer,2014-05-01,2017-04-30,Male,Rep,A
Interior Design Examining Board,Dorothy Fowles,IOWA CITY,JOHNSON,Interior Designer,2014-05-01,2017-04-30,Female,Dem,A
Interior Design Examining Board,Jennifer Brand,Huxley,STORY,Public Member,2015-05-01,2018-04-30,Female,None,A
Interior Design Examining Board,Serena Zwanziger,JANESVILLE,BREMER,Interior Designer,2015-05-01,2018-04-30,Female,None,A
Interior Design Examining Board,Jay Reyhons,Ankeny,POLK,Interior Designer,2015-05-01,2018-04-30,Male,None,A
Interior Design Examining Board,Todd Mithelman,Johnston,POLK,Public Member,2016-05-01,2019-04-30,Male,Rep,A
"Interoperable Communications Systems Board, Iowa Statewide",Vacant,,,Municipal Police Dep.,2010-05-01,2013-04-30,Male,Dem,V
"Interoperable Communications Systems Board, Iowa Statewide",Denise Pavlik,Danvenport,SCOTT,Communications Center Manager,2016-05-13,2017-04-30,Female,Dem,A
"Interoperable Communications Systems Board, Iowa Statewide",Ted Kamatchus,Marshalltown,MARSHALL,County Sheriff,2014-05-01,2017-04-30,Male,Rep,A
"Interoperable Communications Systems Board, Iowa Statewide",Ellen Hagen,Jewell,HAMILTON,Vol Fire Fighter,2014-05-01,2017-04-30,Female,Dem,A
"Interoperable Communications Systems Board, Iowa Statewide",Linda Frederiksen,Bettendorf,SCOTT,Emergency Medical Service Provider,2015-08-06,2018-04-30,Female,None,A
"Interoperable Communications Systems Board, Iowa Statewide",Debra Krebill,Marion,LINN,Pro Fire Department,2015-05-28,2018-04-30,Female,None,A
"Interoperable Communications Systems Board, Iowa Statewide",Andrew Buffington,Forest City,WINNEBAGO,Communications Center Manager,2015-07-29,2018-04-30,Male,Rep,A
"Interoperable Communications Systems Board, Iowa Statewide",Jason Leonard,Waverly,BREMER,Municipal Police Dep.,2015-05-01,2018-04-30,Male,Rep,A
"Interoperable Communications Systems Board, Iowa Statewide",Mike Kasper,Fairfax,LINN,County Sheriff's Office,2016-05-13,2019-04-30,Male,Rep,A
"Interoperable Communications Systems Board, Iowa Statewide",Kelly Groskurth,Treynor,POTTAWATTAMIE,At-large Member,2016-05-13,2019-04-30,Female,Rep,A
"Interoperable Communications Systems Board, Iowa Statewide",Vacant,,,Local Emergency Management Coordinators,,,,,V
"Iowa Innovation Corporation, Board of",GEORGIA VAN GUNDY,Waukee,DALLAS,Member,2015-05-01,2017-04-30,Female,None,A
"Iowa Innovation Corporation, Board of",Kathryn Kunert,Des Moines,POLK,Member,2015-05-01,2019-04-30,Female,Rep,A
"IPERS, Investment Board of the",Marlene Sprouse,OTTUMWA,WAPELLO,Active IPERS Member - Educational,2011-05-01,2017-04-30,Female,None,A
"IPERS, Investment Board of the",Lisa Stange,WEST DES MOINES,POLK,Investment/financial Expertise,2011-05-01,2017-04-30,Female,None,A
"IPERS, Investment Board of the",Wayne Walter,DECORAH,WINNESHIEK,Active IPERS Member - Non Educational,2013-05-01,2019-04-30,Male,Rep,A
"IPERS, Investment Board of the",Dennis Young,WAUKEE,DALLAS,Investment/financial Expertise,2013-05-01,2019-04-30,Male,Rep,A
"IPERS, Investment Board of the",David Creighton,Des Moines,POLK,Investment/financial Expertise,2015-05-01,2021-04-30,Male,Rep,A
"IPERS, Investment Board of the",Phyllis Peterson,Cedar Rapids,LINN,Retired IPERS Member,2016-05-01,2022-04-30,Female,Dem,A
"Judicial Nominating Commission, District 1A",Vacant,,,Member,2004-04-05,2010-01-31,Male,None,V
"Judicial Nominating Commission, District 1A",Vacant,,,Member,2004-05-12,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 1A",Mark Zieman,POSTVILLE,ALLAMAKEE,Member,2012-02-01,2018-01-31,Male,Rep,A
"Judicial Nominating Commission, District 1A",Marsha Hauser,Edgewood,DELAWARE,Member,2014-02-01,2020-01-31,Female,Rep,A
"Judicial Nominating Commission, District 1A",Dean Franzen,Elkader,CLAYTON,Member,2014-02-01,2020-01-31,Male,Rep,A
"Judicial Nominating Commission, District 1B",Vacant,,,Member,2004-04-13,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 1B",Vacant,,,Member,2004-04-09,2010-01-31,Female ,Dem,V
"Judicial Nominating Commission, District 1B",Kathleen Rehberg,Rowley,Buchanan,Member,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 1B",David Hanson,Fayette,Fayette,Member,2012-02-01,2018-01-31,Male,Rep,A
"Judicial Nominating Commission, District 1B",Roger Hansen,New Hampton,Chickasaw,Member,2014-02-01,2020-01-31,Male,Rep,A
"Judicial Nominating Commission, District 2A",Vacant,,,,2004-04-13,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 2A",Vacant,,,,2004-03-31,2010-01-31,Male,Dem,V
"Judicial Nominating Commission, District 2A",Ella Severs,CLARKSVILLE,BUTLER,,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 2A",Mary Beth Sukup,DOUGHERTY,FRANKLIN,,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 2A",Carolyn Haugland,Clear Lake,CERRO GORDO,,2014-02-01,2020-01-31,Female,Rep,A
"Judicial Nominating Commission, District 2B",Vacant,,,Member,2004-04-17,2010-01-31,Male ,Dem,V
"Judicial Nominating Commission, District 2B",Vacant,,,,2004-04-14,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 2B",Bill Horan,Rockwell City,Calhoun,,2012-02-01,2018-01-31,Male,Rep,A
"Judicial Nominating Commission, District 2B",Ann Trimble-Ray,Early,Sac,,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 2B",Amy Schroeder,Jefferson,Greene,,2014-02-01,2020-01-31,Female,Rep,A
"Judicial Nominating Commission, District 3A",Vacant,,,,2004-04-07,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 3A",Vacant,,,,2004-04-13,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 3A",Janis Bowles,Spirit Lake,Dickinson,,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 3A",Cody Hoefert,Rock Rapids,Lyon,,2012-02-01,2018-01-31,Male,Rep,A
"Judicial Nominating Commission, District 3A",Royd Chambers,Sheldon,O'Brien,,2014-02-01,2020-01-31,Male,Rep,A 
"Judicial Nominating Commission, District 3B",Vacant,,,,2004-05-19,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 3B",Vacant,,,,2004-02-01,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 3B",Tammy Kobza,Ireton,SIOUX,,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 3B",Rachel Raak Law,CORRECTIONVILLE,IDA,,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 3B",Delana Ihrke,Le Mars,PLYMOUTH,,2014-02-01,2020-01-31,Female,Rep,A
"Judicial Nominating Commission, District 4",Vacant,,,,2004-08-01,2010-01-31,Male,Dem,V
"Judicial Nominating Commission, District 4",Vacant,,,,2004-06-24,2010-01-31,Male,Dem,V
"Judicial Nominating Commission, District 4",H. David Boettger,HARLAN,SHELBY,,2012-02-01,2018-01-31,Male,Rep,A
"Judicial Nominating Commission, District 4",Robert Camblin ,ATLANTIC,CASS,,2012-02-01,2018-01-31,Male,Rep,A
"Judicial Nominating Commission, District 4",Mary Gunderson,GLENWOOD,MILLS,,2014-02-01,2020-01-31,Female,Rep,A
"Judicial Nominating Commission, District 5A",Vacant,,,Member,2010-03-29,2016-01-31,Female,Dem,V
"Judicial Nominating Commission, District 5A",Vacant,,,Member,2010-03-29,2016-01-31,Male,Dem,V
"Judicial Nominating Commission, District 5A",James Butler,SAINT CHARLES,WARREN,Member,2012-02-01,2018-01-31,Male,Rep,A
"Judicial Nominating Commission, District 5A",David Van Ahn,Panora,GUTHRIE,Member,2014-02-01,2018-01-31,Male,Rep,A
"Judicial Nominating Commission, District 5A",Nancy Garrett,Indianola,WARREN,Member,2014-02-01,2020-01-31,Female,Rep,A
"Judicial Nominating Commission, District 5B",Vacant,,,,2004-04-13,2010-01-31,Male,Dem,V
"Judicial Nominating Commission, District 5B",Vacant,,,,2004-02-01,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 5B",Tracee Knapp,REDDING,RINGGOLD,,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 5B",Patricia McKinley,CHARITON,LUCAS,,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 5B",Alec Turner,Corning,ADAMS,,2014-02-01,2020-01-31,Male,Rep,A
"Judicial Nominating Commission, District 5C",Tina Shaw,West Des Moines,POLK,,2016-02-10,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 5C",Steve Boal,ANKENY,POLK,,2013-03-26,2018-01-31,Male,Rep,A
"Judicial Nominating Commission, District 5C",Marvis Landon,Ankeny,POLK,,2014-04-24,2020-01-31,Female,Rep,A
"Judicial Nominating Commission, District 5C",Thomas Bernau,DES MOINES,POLK,,2014-02-01,2020-01-31,Male,Rep,A
"Judicial Nominating Commission, District 5C",Nicole Crain,Windsor Heights,POLK,,2016-02-01,2022-01-31,Female,Rep,A
"Judicial Nominating Commission, District 6",Vacant,,,Member,2007-04-12,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 6",Vacant,,,Member,2004-03-31,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 6",Craig Knock,Toledo,TAMA,Member,2014-10-14,2018-01-30,Male,Rep,A
"Judicial Nominating Commission, District 6",Alice De-Rycke,BELLE PLAINE,IOWA,Member,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 6",Karen Fesler,Coralville,JOHNSON,Member,2014-02-01,2020-01-31,Female,Rep,A
"Judicial Nominating Commission, District 7",Vacant,,,,2004-05-06,2010-01-31,Male,Dem,V
"Judicial Nominating Commission, District 7",Vacant,,,,2004-02-01,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 7",Judy Davidson,BETTENDORF,SCOTT,,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 7",Danette Hunt,CLINTON,CLINTON,,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 7",Dawn Smith,Durant,CEDAR,,2014-02-01,2020-01-31,Female,Rep,A
"Judicial Nominating Commission, District 8A",Vacant,,,,2008-02-01,2014-01-31,Female,Dem,V
"Judicial Nominating Commission, District 8A",Leonard Maselli,Fairfield,Jefferson,,2015-03-27,2018-01-31,Male,Rep,A
"Judicial Nominating Commission, District 8A",Keith Caviness ,Ottumwa,Wapello,,2012-02-01,2018-01-31,Male,Rep,A
"Judicial Nominating Commission, District 8A",Ann Young,Centerville,Appanoose,,2016-10-17,2022-01-31,Female,Rep,A
"Judicial Nominating Commission, District 8A",Dan Bunnell,Grinnell,Poweshiek,,2016-10-17,2022-01-31,Male,Rep,A
"Judicial Nominating Commission, District 8B",Vacant,,,,2004-02-01,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 8B",Vacant,,,,2004-08-05,2010-01-31,Female,Dem,V
"Judicial Nominating Commission, District 8B",Elizabeth Garrels,MOUNT PLEASANT,HENRY,,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 8B",Catherine Miller-Sands,WAPELLO,LOUISA,,2012-02-01,2018-01-31,Female,Rep,A
"Judicial Nominating Commission, District 8B",Daniel Wiedemeier,BURLINGTON,DES MOINES,,2014-02-01,2020-01-31,Male,Rep,A
"Judicial Nominating Commission, State",John Bloom,WEST DES MOINES,POLK,CD3,2013-01-14,2018-04-30,Male,Rep,A
"Judicial Nominating Commission, State",Kathy Pearson,CEDAR RAPIDS,LINN,CD1,2013-01-14,2018-04-30,Female,Rep,A
"Judicial Nominating Commission, State","Patricia ""Trish"" Roberts",Carroll,CARROLL,CD4,2014-05-01,2020-04-30,Female,Rep,A
"Judicial Nominating Commission, State",Lance Horbach,Tama,TAMA,CD1,2014-05-01,2020-04-30,Male,Rep,A
"Judicial Nominating Commission, State",Steve Berger,WELLMAN,WASHINGTON,CD2,2014-05-01,2020-04-30,Male,Rep,A
"Judicial Nominating Commission, State",Steve Sukup,Clear Lake,CERRO GORDO,CD4,2016-05-01,2022-04-30,Male,Rep,A
"Judicial Nominating Commission, State",Helen Sinclair,MELROSE,MONROE,CD2,2016-05-01,2022-04-30,Female,Rep,A
"Judicial Nominating Commission, State",Christina Taylor,West Des Moines,DALLAS,CD3,2016-05-01,2022-04-30,Female,Rep,A
"Judicial Qualifications, Commission on",Vacant,,,Public Member,2009-05-01,2015-04-30,Male,Dem,V
"Judicial Qualifications, Commission on",Vacant,,,Public Member,2009-05-01,2015-04-30,Female,Dem,V
"Judicial Qualifications, Commission on",Duane Cottingham,PEOSTA,DUBUQUE,Public Member,2011-05-01,2017-04-30,Male,Rep,A
"Judicial Qualifications, Commission on",Sandra Blodgett,CLEAR LAKE,CERRO GORDO,Public Member,2013-05-01,2019-04-30,Female,Rep,A
Juvenile Justice Advisory Council,Vacant,,,Youth Services,2010-07-01,2013-06-30,,,V
Juvenile Justice Advisory Council,Roy Klobnak,LORIMOR,UNION,Workforce Dev Rep,2014-07-01,2017-06-30,Male,Rep,A
Juvenile Justice Advisory Council,Douglas Wolfe,DES MOINES,POLK,Department of Human Services Representative,2014-07-01,2017-06-30,Male,Dem,A
Juvenile Justice Advisory Council,Christina Burkhart,Urbandale,POLK,Youth,2014-07-01,2017-06-30,Female,Rep,A
Juvenile Justice Advisory Council,Wayne Ford,Des Moines,POLK,Private/Non-Profit Org,2014-07-01,2017-06-30,Male,Dem,A
Juvenile Justice Advisory Council,Jennifer Tibbetts,Marion,LINN,Private Provider,2014-08-29,2017-06-30,Female,Dem,A
Juvenile Justice Advisory Council,Joel Illian,UNIVERSITY PARK,MAHASKA,Chair/Education,2014-07-01,2017-06-30,Male,Rep,A
Juvenile Justice Advisory Council,Karyn Finn,Hudson,BLACK HAWK,Provider-youth Services,2015-03-27,2017-06-30,Female,Dem,A
Juvenile Justice Advisory Council,Stephen Clarke,WATERLOO,IOWA,Judge,2014-07-01,2017-06-30,Male,Dem,A
Juvenile Justice Advisory Council,Trevor Lynn,Brighton,WASHINGTON,Youth,2015-12-08,2018-06-30,Male,Rep,A
Juvenile Justice Advisory Council,Jeremy Kaiser,ELDRIDGE,SCOTT,IA Juvenile Detention Facility,2015-07-01,2018-06-30,Male,None,A
Juvenile Justice Advisory Council,Tony Reed,marshalltown,MARSHALL,Juvenile Detention Rep,2015-07-01,2018-06-30,Male,Rep,A
Juvenile Justice Advisory Council,John Quinn,Urbandale,POLK,Law Enforcement,2015-07-01,2018-06-30,Male,None,A
Juvenile Justice Advisory Council,Carl Smith,Ankeny,POLK,Special Education,2015-07-01,2018-06-30,Male,Dem,A
Juvenile Justice Advisory Council,Dillon Malone,DOW CITY,CRAWFORD,Youth,2016-07-01,2019-06-30,Male,Rep,A
Juvenile Justice Advisory Council,Julie Walton,Davenport,SCOTT,County Attorney,2016-07-01,2019-06-30,Female,Dem,A
Juvenile Justice Advisory Council,Jeralyn Westercamp,CEDAR RAPIDS,LINN,Youth,2016-07-01,2019-06-30,Female,Rep,A
Juvenile Justice Advisory Council,Bill Ocker,POLK CITY,POLK,Youth Worker,2016-07-01,2019-06-30,Male,Rep,A
Juvenile Justice Advisory Council,Chad Jensen,Ankeny,POLK,Juvenile Court Officer,2016-07-01,2019-06-30,Male,Dem,A
Juvenile Justice Advisory Council,Andrew Allen,Huxley,STORY,Volunteer,2016-07-01,2019-06-30,Male,Dem,A
Landscape Architectural Examining Board,Vacant,,,Public Member,2010-05-01,2013-04-30,Female,Rep,V
Landscape Architectural Examining Board,Debra Schiel-Larson,Indianola,WARREN,Lic. Landscape Architect,2014-05-01,2017-04-30,Female,Dem,A
Landscape Architectural Examining Board,Jonathan Martin,Norwalk,WARREN,Licensed Landscape Architect,2014-05-01,2017-04-30,Male,Rep,A
Landscape Architectural Examining Board,Samuel Jones,Cedar Rapids,LINN,Public Member,2015-05-01,2017-04-30,Male,Dem,A
Landscape Architectural Examining Board,David Fjare,COUNCIL BLUFFS,POTTAWATTAMIE,Licensed Landscape Architect,2015-05-01,2018-04-30,Male,Rep,A
Landscape Architectural Examining Board,Emily Naylor,Urbandale,POLK,Licensed Landscape Architect,2016-05-01,2018-04-30,Female,Dem,A
Landscape Architectural Examining Board,Brenda Nelson,Iowa City,JOHNSON,Licensed Landscape Architect,2016-05-01,2019-04-30,Female,Rep,A
Latino Affairs Commission,Vacant,,,Public Member,2009-07-08,2011-06-30,Female,None,V
Latino Affairs Commission,Sal Alaniz,Mount Pleasant,HENRY,Public Member,2016-05-11,2018-04-30,Male,None,A
Latino Affairs Commission,Alejandro Pino,Cedar Rapids,LINN,Public Member,2014-05-01,2018-04-30,Male,None,A
Latino Affairs Commission,Marlu Abarca,Des Moines,POLK,Public Member,2016-05-01,2018-04-30,Female,Dem,A
Latino Affairs Commission,Jeannette Martinez,Clive,POLK,Public Member,2016-05-01,2020-04-30,Female,Rep,A
Latino Affairs Commission,Michelle Reuss,Riverside,WASHINGTON,Public Member,2016-05-01,2020-04-30,Female,Rep,A
Latino Affairs Commission,JUAN RODRIGUEZ,DES MOINES,POLK,Public Member,2016-05-01,2020-04-30,Male,Rep,A
"Law Enforcement Academy Council, Iowa",Vacant,,,IA Police Chiefs Assoc.,2008-05-01,2012-04-30,,,V
"Law Enforcement Academy Council, Iowa",Melinda Ruopp,Marshalltown,MARSHALL,IA State Police Assoc.,2013-05-01,2017-04-30,Female,Rep,A
"Law Enforcement Academy Council, Iowa",Randy Krukow,Spencer,CLAY,"County Sheriff < 50,000",2013-05-01,2017-04-30,Male,Rep,A
"Law Enforcement Academy Council, Iowa",Megan Weiss,Des Moines,POLK,Resident,2013-05-01,2017-04-30,Female,Dem,A
"Law Enforcement Academy Council, Iowa",Brian Gardner,CEDAR RAPIDS,LINN,"County Sheriff>50,000",2013-05-01,2017-04-30,Male,Dem,A
"Law Enforcement Academy Council, Iowa",Gene Beinke,Clinton,CLINTON,Resident,2016-05-25,2018-04-30,Male,Rep,A
"Law Enforcement Academy Council, Iowa",Ricardo Martinez,Nevada,STORY,Resident,2014-05-01,2018-04-30,Male,None,A
"Law Enforcement Academy Council, Iowa",Lisa Campbell,WATERLOO,BLACK HAWK,Iowa Peace Officers Assoc.,2014-05-01,2018-04-30,Female,Rep,A
"Law Enforcement Academy Council, Iowa",Timothy Carmody,Council Bluffs,IOWA,"Police Officer > 50,000",2015-05-01,2019-04-30,Male,Rep,A
"Law Enforcement Academy Council, Iowa",David Lorenzen,Waukee,DALLAS,DOT Enforcement Officer,2015-05-01,2019-04-30,,,A
"Law Enforcement Academy Council, Iowa",Nancy Bodnar,PEOSTA,DUBUQUE,Deputy Sheriff,2015-05-01,2019-04-30,Female,None,A
"Law Enforcement Academy Council, Iowa",Regina Clemens,GRANGER,POLK,Public Safety Rep.,2016-05-01,2020-04-30,Female,None,A
"Law Enforcement Academy Council, Iowa",Michael Tupper,MARSHALLTOWN,MARSHALL,"Police Officer < 50,000",2016-05-01,2020-04-30,Male,Rep,A
"Libraries, Commission of",Vacant,,,At-Large Member,2007-12-04,2011-04-30,Female,Dem,V
"Libraries, Commission of",Vacant,,,Public Librarian,2012-07-01,2016-04-30,,,V
"Libraries, Commission of",Patricia Laas,Bettendorf,SCOTT,At-Large Member,2013-05-01,2017-04-30,Female,Rep,A
"Libraries, Commission of",Dale VandeHaar,Des Moines,POLK,School or AEA Librarian,2013-05-01,2017-04-30,Male,None,A
"Libraries, Commission of",Betsy Thompson,Sioux City,WOODBURY,Public Librarian,2013-05-01,2017-04-30,Female,None,A
